Province,Capital,Latitude-p,Longitude-p
Drenthe,Assen,52.990372,6.553376
Groningen,Groningen,53.221793,6.558245
Flevoland,Lelystad,52.536681,5.361072
Friesland,Leeuwarden,53.199734,5.800653
Gelderland,Arnhem,52.005664,5.876235
Limburg,Maastricht,50.857985,5.696988
North Brabant,'s-Hertogenbosch,51.709952,5.291919
North Holland,Haarlem,52.383706,4.64356
Overijssel,Zwolle,52.514565,6.09772
Utrecht,Utrecht,52.080952,5.12768
Zeeland,Middelburg,51.505295,3.610071
South Holland,Den Haag,52.078663,4.288788
